weight,feed
206,meatmeal
140,horsebean
NA,NA
318,sunflower
332,casein
na,horsebean
216,na
143,horsebean
271,soybean
315,meatmeal
227,horsebean
N/A,sunflower
322,sunflower
352,casein
329,not sure
N/A,linseed
379,casein
153,?
N/A,linseed
213,linseed
257,
179,horsebean
380,meatmeal
327,soybean
260,linseed
168,horsebean
248,soybean
181,linseed
160,horsebean
NA,sunflower
,soybean
340,sunflower
260,casein
169,?
171,soybean
368,casein
283,casein
334,sunflower
-,unknown
309,linseed
,soybean
295,?
404,NA
392,sunflower
na,casein
267,soybean
303,meatmeal
250,soybean
243,soybean
108,horsebean
229,linseed
NA,horsebean
222,casein
344,meatmeal
263,unknown
148,linseed
318,casein
-,meatmeal
258,meatmeal
NA,sunflower
325,meatmeal
217,
271,linseed
244,linseed
341,sunflower
141,?
158,soybean
423,sunflower
316,NA
na,soybean
,casein
